slug	verdict	year	posts_that_year	yield_pct	ok	gated	short	median_words	claim_sentences	specificity
ruthreichl	WEAK-no-claims	2021	31	75	3	0	1	495	0	76
thekasbahchronicles	SKIP-too-new	2023,2024,2025,2026								
kcrwgoodfood	SKIP-too-new	2025,2026								
katehillfrance	SKIP-too-gated	2021	49	0	0	4	0	0	0	0
promptsfromparis	SKIP-too-new	2024,2025,2026								
eddkimber	SKIP-too-new	2022,2023,2024,2025,2026								
stevesando	SKIP-too-new	2026								
jesspiper	SKIP-too-new	2023,2024,2025,2026								
wessiler	WEAK-no-claims	2021	14	75	3	0	1	1053	0	92
pauloffit	SKIP-too-new	2023,2024,2025,2026								
lizadonnelly	CANDIDATE	2021	15	75	3	0	1	560	1	66
danismart	SKIP-too-new	2022,2023,2024,2025,2026								
robertreich	CANDIDATE	2021	99	75	3	1	0	887	1	122
waynecoffey	SKIP-too-new	2024,2025,2026								
paulkrugman	WEAK-no-claims	2021	6	100	4	0	0	1438	0	72
susanrogan	CANDIDATE	2020	124	75	3	0	1	2579	2	244
jasonherbert	SKIP-too-new	2022,2023,2024,2025,2026								
joycevance	SKIP-too-new	2022,2023,2024,2025,2026								
fromthescienceclass	SKIP-too-new	2023,2024,2025,2026								
matthewfacciani	SKIP-too-new	2022,2023,2024,2025,2026								
youcanknowthings	SKIP-too-new	2024,2025,2026								
techingitapart	SKIP-too-new	2023,2024,2025,2026								
theunbiasedscipod	CANDIDATE	2021	7	100	4	0	0	1031	1	130
drjessicaknurick	SKIP-too-new	2025,2026								
deplatformdisease	SKIP-too-new	2022,2023,2024,2025,2026								
williamdepaolo	SKIP-too-new	2023,2024,2025,2026								
thosenerdygirls	WEAK-no-claims	2021	53	75	3	0	1	1019	0	96
welltodo	SKIP-too-gated	2020	10	0	0	4	0	0	0	0
longevity101	SKIP-too-new	2025,2026								
pauldthompsonmd	SKIP-too-new	2023,2024,2025,2026								
bekolimjon	SKIP-too-new	2025,2026								
johnmandrola	CANDIDATE	2021	12	100	4	0	0	1314	22	78
johngetstrong	SKIP-too-new	2023,2024,2025,2026								
steady	CANDIDATE	2021	198	100	4	0	0	1227	1	63
adamgrant	SKIP-too-gated	2021	12	0	0	0	4	0	0	0
api	ERROR	404 on https://api.substack.com/sitemap								
themorningshakeout	SKIP-too-new	2024,2025,2026								
lauranorrisrunning	SKIP-too-new	2025,2026								
newdirectionsinmusic	CANDIDATE	2021	34	100	4	0	0	1466	1	123
nestwellness	SKIP-too-new	2024,2025,2026								
mccormickmd	SKIP-too-gated	2021	19	0	0	4	0	0	0	0
cardiologytrials	SKIP-too-new	2023,2024,2025,2026								
sciencefictionspod	SKIP-too-new	2023,2024,2025,2026								
profbubak	SKIP-too-new	2025,2026								
alasdairmunro	SKIP-too-new	2022,2023,2024,2025,2026								
drglorioso	SKIP-too-new	2022,2023,2024,2025,2026								
robynhitchcock	SKIP-too-new	2025,2026								
marshallallen	SKIP-too-gated	2021	9	0	0	4	0	0	0	0
colinmeloy	SKIP-too-new	2022,2023,2024,2025,2026								
joelfilliol	SKIP-too-gated	2021	2	50	1	0	1	676	0	152
inakidelaparra	SKIP-too-new	2024,2025,2026								
neuroathletics	SKIP-too-gated	2021	68	0	0	4	0	0	0	0
joefriel	SKIP-too-new	2025,2026								
